Approved symbol,Approved name,Status,Chromosome,Ensembl gene ID,Mitochondria,chr,arm,pos
AKR1B1P3,aldo-keto reductase family 1 member B1 pseudogene 3,Approved,11p15.2,ENSG00000213785,no,11,p,15.2
C11orf58,chromosome 11 open reading frame 58,Approved,11p15.2,ENSG00000110696,no,11,p,15.2
CALCA,calcitonin related polypeptide alpha,Approved,11p15.2,ENSG00000110680,no,11,p,15.2
CALCB,calcitonin related polypeptide beta,Approved,11p15.2,ENSG00000175868,no,11,p,15.2
CALCP,calcitonin pseudogene,Approved,11p15.2,ENSG00000253179,no,11,p,15.2
COPB1,COPI coat complex subunit beta 1,Approved,11p15.2,ENSG00000129083,no,11,p,15.2
CYP2R1,cytochrome P450 family 2 subfamily R member 1,Approved,11p15.2,ENSG00000186104,no,11,p,15.2
HMGN2P36,high mobility group nucleosomal binding domain 2 pseudogene 36,Approved,11p15.2,ENSG00000228901,no,11,p,15.2
INSC,INSC spindle orientation adaptor protein,Approved,11p15.2,ENSG00000188487,no,11,p,15.2
LINC02545,long intergenic non-protein coding RNA 2545,Approved,11p15.2,ENSG00000254930,no,11,p,15.2
LINC02682,long intergenic non-protein coding RNA 2682,Approved,11p15.2,ENSG00000254661,no,11,p,15.2
LINC02683,long intergenic non-protein coding RNA 2683,Approved,11p15.2,ENSG00000254438,no,11,p,15.2
LINC02751,long intergenic non-protein coding RNA 2751,Approved,11p15.2,ENSG00000254946,no,11,p,15.2
MORF4L1P3,mortality factor 4 like 1 pseudogene 3,Approved,11p15.2,ENSG00000255040,no,11,p,15.2
OR7E41P,olfactory receptor family 7 subfamily E member 41 pseudogene,Approved,11p15.2,ENSG00000250640,no,11,p,15.2
PDE3B,phosphodiesterase 3B,Approved,11p15.2,ENSG00000152270,no,11,p,15.2
PSMA1,proteasome 20S subunit alpha 1,Approved,11p15.2,ENSG00000129084,no,11,p,15.2
RASSF10,Ras association domain family member 10,Approved,11p15.2,ENSG00000189431,no,11,p,15.2
RN7SKP151,RN7SK pseudogene 151,Approved,11p15.2,ENSG00000222162,no,11,p,15.2
RNA5SP331,"RNA, 5S ribosomal pseudogene 331",Approved,11p15.2,ENSG00000201856,no,11,p,15.2
RNA5SP332,"RNA, 5S ribosomal pseudogene 332",Approved,11p15.2,ENSG00000212365,no,11,p,15.2
RNU7-49P,"RNA, U7 small nuclear 49 pseudogene",Approved,11p15.2,ENSG00000251991,no,11,p,15.2
RRAS2,RAS related 2,Approved,11p15.2,ENSG00000133818,no,11,p,15.2
SOX6,SRY-box transcription factor 6,Approved,11p15.2,ENSG00000110693,no,11,p,15.2
SPON1,spondin 1,Approved,11p15.2,ENSG00000262655,no,11,p,15.2
SPON1-AS1,SPON1 antisense RNA 1,Approved,11p15.2,ENSG00000254418,no,11,p,15.2
BMAL1,basic helix-loop-helix ARNT like 1,Approved,11p15.3,ENSG00000133794,no,11,p,15.3
BTBD10,BTB domain containing 10,Approved,11p15.3,ENSG00000148925,no,11,p,15.3
CENPUP1,centromere protein U pseudogene 1,Approved,11p15.3,ENSG00000255075,no,11,p,15.3
DKK3,dickkopf WNT signaling pathway inhibitor 3,Approved,11p15.3,ENSG00000050165,no,11,p,15.3
FAR1,fatty acyl-CoA reductase 1,Approved,11p15.3,ENSG00000197601,no,11,p,15.3
FAR1-IT1,FAR1 intronic transcript 1,Approved,11p15.3,ENSG00000254791,no,11,p,15.3
H3P33,H3 histone pseudogene 33,Approved,11p15.3,ENSG00000255492,no,11,p,15.3
LINC00958,long intergenic non-protein coding RNA 958,Approved,11p15.3,ENSG00000251381,no,11,p,15.3
LINC02547,long intergenic non-protein coding RNA 2547,Approved,11p15.3,ENSG00000254486,no,11,p,15.3
LINC02989,long intergenic non-protein coding RNA 2989,Approved,11p15.3,ENSG00000255400,no,11,p,15.3
MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",Approved,11p15.3,ENSG00000133816,no,11,p,15.3
PARVA,parvin alpha,Approved,11p15.3,ENSG00000197702,no,11,p,15.3
PTH,parathyroid hormone,Approved,11p15.3,ENSG00000152266,no,11,p,15.3
RASSF10-DT,RASSF10 divergent transcript,Approved,11p15.3,ENSG00000254670,no,11,p,15.3
RNF141,ring finger protein 141,Approved,11p15.3,ENSG00000110315,no,11,p,15.3
RPL39P26,ribosomal protein L39 pseudogene 26,Approved,11p15.3,ENSG00000240454,no,11,p,15.3
SNORD97,"small nucleolar RNA, C/D box 97",Approved,11p15.3,ENSG00000238622,no,11,p,15.3
TEAD1,TEA domain transcription factor 1,Approved,11p15.3,ENSG00000187079,no,11,p,15.3
USP47,ubiquitin specific peptidase 47,Approved,11p15.3,ENSG00000170242,no,11,p,15.3
LINC02548,long intergenic non-protein coding RNA 2548,Approved,11p15.3-p15.2,ENSG00000255411,no,11,p,15.3-p15.2
ADM,adrenomedullin,Approved,11p15.4,ENSG00000148926,no,11,p,15.4
ADM-DT,ADM divergent transcript,Approved,11p15.4,ENSG00000254554,no,11,p,15.4
AKIP1,A-kinase interacting protein 1,Approved,11p15.4,ENSG00000166452,no,11,p,15.4
AMPD3,adenosine monophosphate deaminase 3,Approved,11p15.4,ENSG00000133805,no,11,p,15.4
APBB1,amyloid beta precursor protein binding family B member 1,Approved,11p15.4,ENSG00000166313,no,11,p,15.4
ARFIP2,ADP ribosylation factor interacting protein 2,Approved,11p15.4,ENSG00000132254,no,11,p,15.4
ART1,ADP-ribosyltransferase 1,Approved,11p15.4,ENSG00000129744,no,11,p,15.4
ART5,ADP-ribosyltransferase 5,Approved,11p15.4,ENSG00000167311,no,11,p,15.4
ASCL3,achaete-scute family bHLH transcription factor 3,Approved,11p15.4,ENSG00000176009,no,11,p,15.4
BGLT3,beta globin locus transcript 3,Approved,11p15.4,ENSG00000260629,no,11,p,15.4
C11orf16,chromosome 11 open reading frame 16,Approved,11p15.4,ENSG00000176029,no,11,p,15.4
C11orf40,chromosome 11 putative open reading frame 40,Approved,11p15.4,ENSG00000171987,no,11,p,15.4
C11orf42,chromosome 11 open reading frame 42,Approved,11p15.4,ENSG00000180878,no,11,p,15.4
CARS1,cysteinyl-tRNA synthetase 1,Approved,11p15.4,ENSG00000110619,no,11,p,15.4
CARS1-AS1,CARS1 antisense RNA 1,Approved,11p15.4,ENSG00000247473,no,11,p,15.4
CASC23,cancer susceptibility 23,Approved,11p15.4,ENSG00000255420,no,11,p,15.4
CAVIN3,caveolae associated protein 3,Approved,11p15.4,ENSG00000170955,no,11,p,15.4
CCKBR,cholecystokinin B receptor,Approved,11p15.4,ENSG00000110148,no,11,p,15.4
CDKN1C,cyclin dependent kinase inhibitor 1C,Approved,11p15.4,ENSG00000129757,no,11,p,15.4
CHRNA10,cholinergic receptor nicotinic alpha 10 subunit,Approved,11p15.4,ENSG00000129749,no,11,p,15.4
CNGA4,cyclic nucleotide gated channel subunit alpha 4,Approved,11p15.4,ENSG00000132259,no,11,p,15.4
COX6CP5,cytochrome c oxidase subunit 6C pseudogene 5,Approved,11p15.4,ENSG00000254642,no,11,p,15.4
CSNK2A3,casein kinase 2 alpha 3,Approved,11p15.4,ENSG00000254598,no,11,p,15.4
CTR9,"CTR9 homolog, Paf1/RNA polymerase II complex component",Approved,11p15.4,ENSG00000198730,no,11,p,15.4
CYB5R2,cytochrome b5 reductase 2,Approved,11p15.4,ENSG00000166394,no,11,p,15.4
DCHS1,dachsous cadherin-related 1,Approved,11p15.4,ENSG00000166341,no,11,p,15.4
DCHS1-AS1,DCHS1 antisense RNA 1,Approved,11p15.4,ENSG00000255390,no,11,p,15.4
DENND2B,DENN domain containing 2B,Approved,11p15.4,ENSG00000166444,no,11,p,15.4
DENND2B-AS1,DENND2B antisense RNA 1,Approved,11p15.4,ENSG00000255159,no,11,p,15.4
DENND5A,DENN domain containing 5A,Approved,11p15.4,ENSG00000184014,no,11,p,15.4
DNHD1,dynein heavy chain domain 1,Approved,11p15.4,ENSG00000179532,no,11,p,15.4
EIF3F,eukaryotic translation initiation factor 3 subunit F,Approved,11p15.4,ENSG00000175390,no,11,p,15.4
EIF4G2,eukaryotic translation initiation factor 4 gamma 2,Approved,11p15.4,ENSG00000110321,no,11,p,15.4
ENPP7P15,ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 15,Approved,11p15.4,ENSG00000284605,no,11,p,15.4
FAM86GP,"family with sequence similarity 86 member G, pseudogene",Approved,11p15.4,ENSG00000166492,no,11,p,15.4
FHIP1B,FHF complex subunit HOOK interacting protein 1B,Approved,11p15.4,ENSG00000051009,no,11,p,15.4
GALNT18,polypeptide N-acetylgalactosaminyltransferase 18,Approved,11p15.4,ENSG00000110328,no,11,p,15.4
GVINP1,"GTPase, very large interferon inducible pseudogene 1",Approved,11p15.4,ENSG00000254838,no,11,p,15.4
GVINP2,"GTPase, very large interferon inducible pseudogene 2",Approved,11p15.4,ENSG00000254781,no,11,p,15.4
HBB,hemoglobin subunit beta,Approved,11p15.4,ENSG00000244734,no,11,p,15.4
HBBP1,hemoglobin subunit beta pseudogene 1,Approved,11p15.4,ENSG00000229988,no,11,p,15.4
HBD,hemoglobin subunit delta,Approved,11p15.4,ENSG00000223609,no,11,p,15.4
HBE1,hemoglobin subunit epsilon 1,Approved,11p15.4,ENSG00000213931,no,11,p,15.4
HBG1,hemoglobin subunit gamma 1,Approved,11p15.4,ENSG00000213934,no,11,p,15.4
HBG2,hemoglobin subunit gamma 2,Approved,11p15.4,ENSG00000196565,no,11,p,15.4
HNRNPA1P53,heterogeneous nuclear ribonucleoprotein A1 pseudogene 53,Approved,11p15.4,ENSG00000229534,no,11,p,15.4
HNRNPA1P76,heterogeneous nuclear ribonucleoprotein A1 pseudogene 76,Approved,11p15.4,ENSG00000255141,no,11,p,15.4
HPX,hemopexin,Approved,11p15.4,ENSG00000110169,no,11,p,15.4
ILK,integrin linked kinase,Approved,11p15.4,ENSG00000166333,no,11,p,15.4
IPO7,importin 7,Approved,11p15.4,ENSG00000205339,no,11,p,15.4
IRAG1,"inositol 1,4,5-triphosphate receptor associated 1",Approved,11p15.4,ENSG00000072952,no,11,p,15.4
IRAG1-AS1,IRAG1 antisense RNA 1,Approved,11p15.4,ENSG00000177112,no,11,p,15.4
KCNQ1-AS1,KCNQ1 antisense RNA 1,Approved,11p15.4,ENSG00000229414,no,11,p,15.4
KCNQ1DN,KCNQ1 downstream neighbor,Approved,11p15.4,ENSG00000237941,no,11,p,15.4
KRT8P41,keratin 8 pseudogene 41,Approved,11p15.4,ENSG00000213538,no,11,p,15.4
KRT8P49,keratin 8 pseudogene 49,Approved,11p15.4,ENSG00000271602,no,11,p,15.4
KRT18P58,keratin 18 pseudogene 58,Approved,11p15.4,ENSG00000254831,no,11,p,15.4
LINC02709,long intergenic non-protein coding RNA 2709,Approved,11p15.4,ENSG00000245522,no,11,p,15.4
LINC02749,long intergenic non-protein coding RNA 2749,Approved,11p15.4,ENSG00000254480,no,11,p,15.4
LINC02752,long intergenic non-protein coding RNA 2752,Approved,11p15.4,ENSG00000254401,no,11,p,15.4
LMO1,LIM domain only 1,Approved,11p15.4,ENSG00000166407,no,11,p,15.4
LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,Approved,11p15.4,ENSG00000133800,no,11,p,15.4
MIR302E,microRNA 302e,Approved,11p15.4,ENSG00000221703,no,11,p,15.4
MMP26,matrix metallopeptidase 26,Approved,11p15.4,ENSG00000167346,no,11,p,15.4
MRGPRE,MAS related GPR family member E,Approved,11p15.4,ENSG00000184350,no,11,p,15.4
MRGPRG,MAS related GPR family member G,Approved,11p15.4,ENSG00000182170,no,11,p,15.4
MRGPRG-AS1,MRGPRG antisense RNA 1,Approved,11p15.4,ENSG00000236301,no,11,p,15.4
MRPL17,mitochondrial ribosomal protein L17,Approved,11p15.4,ENSG00000158042,no,11,p,15.4
MTND5P21,MT-ND5 pseudogene 21,Approved,11p15.4,ENSG00000255123,no,11,p,15.4
MTRNR2L8,MT-RNR2 like 8 (pseudogene),Approved,11p15.4,ENSG00000255823,no,11,p,15.4
NAP1L4,nucleosome assembly protein 1 like 4,Approved,11p15.4,ENSG00000205531,no,11,p,15.4
NDUFA5P1,NADH:ubiquinone oxidoreductase subunit A5 pseudogene 1,Approved,11p15.4,ENSG00000232390,no,11,p,15.4
NDUFA5P8,NADH:ubiquinone oxidoreductase subunit A5 pseudogene 8,Approved,11p15.4,ENSG00000236987,no,11,p,15.4
NLRP10,NLR family pyrin domain containing 10,Approved,11p15.4,ENSG00000182261,no,11,p,15.4
NLRP14,NLR family pyrin domain containing 14,Approved,11p15.4,ENSG00000158077,no,11,p,15.4
NRIP3,nuclear receptor interacting protein 3,Approved,11p15.4,ENSG00000175352,no,11,p,15.4
NRIP3-DT,NRIP3 divergent transcript,Approved,11p15.4,ENSG00000253973,no,11,p,15.4
NUP98,nucleoporin 98 and 96 precursor,Approved,11p15.4,ENSG00000110713,no,11,p,15.4
OLFM5P,"olfactomedin family member 5, pseudogene",Approved,11p15.4,ENSG00000224295,no,11,p,15.4
OLFML1,olfactomedin like 1,Approved,11p15.4,ENSG00000183801,no,11,p,15.4
OR2AG1,olfactory receptor family 2 subfamily AG member 1,Approved,11p15.4,ENSG00000279486,no,11,p,15.4
OR2AG2,olfactory receptor family 2 subfamily AG member 2,Approved,11p15.4,ENSG00000188124,no,11,p,15.4
OR2D2,olfactory receptor family 2 subfamily D member 2,Approved,11p15.4,ENSG00000166368,no,11,p,15.4
OR2D3,olfactory receptor family 2 subfamily D member 3,Approved,11p15.4,ENSG00000178358,no,11,p,15.4
OR5E1P,olfactory receptor family 5 subfamily E member 1 pseudogene,Approved,11p15.4,ENSG00000170688,no,11,p,15.4
OR5P1P,olfactory receptor family 5 subfamily P member 1 pseudogene,Approved,11p15.4,ENSG00000166408,no,11,p,15.4
OR5P2,olfactory receptor family 5 subfamily P member 2,Approved,11p15.4,ENSG00000183303,no,11,p,15.4
OR5P3,olfactory receptor family 5 subfamily P member 3,Approved,11p15.4,ENSG00000182334,no,11,p,15.4
OR5P4P,olfactory receptor family 5 subfamily P member 4 pseudogene,Approved,11p15.4,ENSG00000227892,no,11,p,15.4
OR6A2,olfactory receptor family 6 subfamily A member 2,Approved,11p15.4,ENSG00000184933,no,11,p,15.4
OR7E12P,olfactory receptor family 7 subfamily E member 12 pseudogene,Approved,11p15.4,ENSG00000189398,no,11,p,15.4
OR7E117P,olfactory receptor family 7 subfamily E member 117 pseudogene,Approved,11p15.4,ENSG00000238161,no,11,p,15.4
OR10A2,olfactory receptor family 10 subfamily A member 2,Approved,11p15.4,ENSG00000170790,no,11,p,15.4
OR10A3,olfactory receptor family 10 subfamily A member 3,Approved,11p15.4,ENSG00000170683,no,11,p,15.4
OR10A4,olfactory receptor family 10 subfamily A member 4,Approved,11p15.4,ENSG00000170782,no,11,p,15.4
OR10A5,olfactory receptor family 10 subfamily A member 5,Approved,11p15.4,ENSG00000166363,no,11,p,15.4
OR10A6,olfactory receptor family 10 subfamily A member 6 (gene/pseudogene),Approved,11p15.4,ENSG00000279000,no,11,p,15.4
OR10AB1P,olfactory receptor family 10 subfamily AB member 1 pseudogene,Approved,11p15.4,ENSG00000176716,no,11,p,15.4
OR51A1P,olfactory receptor family 51 subfamily A member 1 pseudogene,Approved,11p15.4,ENSG00000176752,no,11,p,15.4
OR51A2,olfactory receptor family 51 subfamily A member 2,Approved,11p15.4,ENSG00000205496,no,11,p,15.4
OR51A3P,olfactory receptor family 51 subfamily A member 3 pseudogene,Approved,11p15.4,ENSG00000227023,no,11,p,15.4
OR51A4,olfactory receptor family 51 subfamily A member 4,Approved,11p15.4,ENSG00000205497,no,11,p,15.4
OR51A5P,olfactory receptor family 51 subfamily A member 5 pseudogene,Approved,11p15.4,ENSG00000225003,no,11,p,15.4
OR51A6P,olfactory receptor family 51 subfamily A member 6 pseudogene,Approved,11p15.4,ENSG00000197023,no,11,p,15.4
OR51A7,olfactory receptor family 51 subfamily A member 7,Approved,11p15.4,ENSG00000176895,no,11,p,15.4
OR51A8P,olfactory receptor family 51 subfamily A member 8 pseudogene,Approved,11p15.4,ENSG00000197984,no,11,p,15.4
OR51A9P,olfactory receptor family 51 subfamily A member 9 pseudogene,Approved,11p15.4,ENSG00000180723,no,11,p,15.4
OR51A10P,olfactory receptor family 51 subfamily A member 10 pseudogene,Approved,11p15.4,ENSG00000230484,no,11,p,15.4
OR51AB1P,olfactory receptor family 51 subfamily AB member 1 pseudogene,Approved,11p15.4,ENSG00000229093,no,11,p,15.4
OR51B2,olfactory receptor family 51 subfamily B member 2,Approved,11p15.4,ENSG00000279012,no,11,p,15.4
OR51B3P,olfactory receptor family 51 subfamily B member 3 pseudogene,Approved,11p15.4,ENSG00000223735,no,11,p,15.4
OR51B4,olfactory receptor family 51 subfamily B member 4,Approved,11p15.4,ENSG00000183251,no,11,p,15.4
OR51B5,olfactory receptor family 51 subfamily B member 5,Approved,11p15.4,ENSG00000167355,no,11,p,15.4
OR51B6,olfactory receptor family 51 subfamily B member 6,Approved,11p15.4,ENSG00000176239,no,11,p,15.4
OR51B8P,olfactory receptor family 51 subfamily B member 8 pseudogene,Approved,11p15.4,ENSG00000236359,no,11,p,15.4
OR51C1P,olfactory receptor family 51 subfamily C member 1 pseudogene,Approved,11p15.4,ENSG00000197674,no,11,p,15.4
OR51C4P,olfactory receptor family 51 subfamily C member 4 pseudogene,Approved,11p15.4,ENSG00000272664,no,11,p,15.4
OR51D1,olfactory receptor family 51 subfamily D member 1,Approved,11p15.4,ENSG00000197428,no,11,p,15.4
OR51E1,olfactory receptor family 51 subfamily E member 1,Approved,11p15.4,ENSG00000180785,no,11,p,15.4
OR51E2,olfactory receptor family 51 subfamily E member 2,Approved,11p15.4,ENSG00000167332,no,11,p,15.4
OR51F1,olfactory receptor family 51 subfamily F member 1,Approved,11p15.4,ENSG00000280021,no,11,p,15.4
OR51F2,olfactory receptor family 51 subfamily F member 2,Approved,11p15.4,ENSG00000176925,no,11,p,15.4
OR51F3P,olfactory receptor family 51 subfamily F member 3 pseudogene,Approved,11p15.4,ENSG00000272559,no,11,p,15.4
OR51F4P,olfactory receptor family 51 subfamily F member 4 pseudogene,Approved,11p15.4,ENSG00000273051,no,11,p,15.4
OR51F5P,olfactory receptor family 51 subfamily F member 5 pseudogene,Approved,11p15.4,ENSG00000272634,no,11,p,15.4
OR51G1,olfactory receptor family 51 subfamily G member 1,Approved,11p15.4,ENSG00000278870,no,11,p,15.4
OR51G2,olfactory receptor family 51 subfamily G member 2,Approved,11p15.4,ENSG00000176893,no,11,p,15.4
OR51H1,olfactory receptor family 51 subfamily H member 1,Approved,11p15.4,ENSG00000176904,no,11,p,15.4
OR51H2P,olfactory receptor family 51 subfamily H member 2 pseudogene,Approved,11p15.4,ENSG00000198217,no,11,p,15.4
OR51I1,olfactory receptor family 51 subfamily I member 1,Approved,11p15.4,ENSG00000167359,no,11,p,15.4
OR51I2,olfactory receptor family 51 subfamily I member 2,Approved,11p15.4,ENSG00000187918,no,11,p,15.4
OR51J1,olfactory receptor family 51 subfamily J member 1,Approved,11p15.4,ENSG00000184321,no,11,p,15.4
OR51K1P,olfactory receptor family 51 subfamily K member 1 pseudogene,Approved,11p15.4,ENSG00000248424,no,11,p,15.4
OR51L1,olfactory receptor family 51 subfamily L member 1,Approved,11p15.4,ENSG00000176798,no,11,p,15.4
OR51M1,olfactory receptor family 51 subfamily M member 1,Approved,11p15.4,ENSG00000184698,no,11,p,15.4
OR51N1P,olfactory receptor family 51 subfamily N member 1 pseudogene,Approved,11p15.4,ENSG00000176951,no,11,p,15.4
OR51P1P,olfactory receptor family 51 subfamily P member 1 pseudogene,Approved,11p15.4,ENSG00000224300,no,11,p,15.4
OR51Q1,olfactory receptor family 51 subfamily Q member 1,Approved,11p15.4,ENSG00000167360,no,11,p,15.4
OR51R1P,olfactory receptor family 51 subfamily R member 1 pseudogene,Approved,11p15.4,ENSG00000237272,no,11,p,15.4
OR51S1,olfactory receptor family 51 subfamily S member 1,Approved,11p15.4,ENSG00000176922,no,11,p,15.4
OR51T1,olfactory receptor family 51 subfamily T member 1,Approved,11p15.4,ENSG00000176900,no,11,p,15.4
OR51V1,olfactory receptor family 51 subfamily V member 1,Approved,11p15.4,ENSG00000176742,no,11,p,15.4
OR52A1,olfactory receptor family 52 subfamily A member 1,Approved,11p15.4,ENSG00000182070,no,11,p,15.4
OR52A4P,olfactory receptor family 52 subfamily A member 4 pseudogene,Approved,11p15.4,ENSG00000205494,no,11,p,15.4
OR52A5,olfactory receptor family 52 subfamily A member 5,Approved,11p15.4,ENSG00000171944,no,11,p,15.4
OR52B1P,olfactory receptor family 52 subfamily B member 1 pseudogene,Approved,11p15.4,ENSG00000180909,no,11,p,15.4
OR52B2,olfactory receptor family 52 subfamily B member 2,Approved,11p15.4,ENSG00000255307,no,11,p,15.4
OR52B3P,olfactory receptor family 52 subfamily B member 3 pseudogene,Approved,11p15.4,ENSG00000175800,no,11,p,15.4
OR52B4,olfactory receptor family 52 subfamily B member 4,Approved,11p15.4,ENSG00000221996,no,11,p,15.4
OR52B5P,olfactory receptor family 52 subfamily B member 5 pseudogene,Approved,11p15.4,ENSG00000231049,no,11,p,15.4
OR52B6,olfactory receptor family 52 subfamily B member 6,Approved,11p15.4,ENSG00000187747,no,11,p,15.4
OR52D1,olfactory receptor family 52 subfamily D member 1,Approved,11p15.4,ENSG00000181609,no,11,p,15.4
OR52E1,olfactory receptor family 52 subfamily E member 1 (gene/pseudogene),Approved,11p15.4,ENSG00000273085,no,11,p,15.4
OR52E2,olfactory receptor family 52 subfamily E member 2,Approved,11p15.4,ENSG00000176787,no,11,p,15.4
OR52E3P,olfactory receptor family 52 subfamily E member 3 pseudogene,Approved,11p15.4,ENSG00000226157,no,11,p,15.4
OR52E4,olfactory receptor family 52 subfamily E member 4,Approved,11p15.4,ENSG00000180974,no,11,p,15.4
OR52E5,olfactory receptor family 52 subfamily E member 5,Approved,11p15.4,ENSG00000277932,no,11,p,15.4
OR52E6,olfactory receptor family 52 subfamily E member 6,Approved,11p15.4,ENSG00000205409,no,11,p,15.4
OR52E7P,olfactory receptor family 52 subfamily E member 7 pseudogene,Approved,11p15.4,ENSG00000233563,no,11,p,15.4
OR52E8,olfactory receptor family 52 subfamily E member 8,Approved,11p15.4,ENSG00000183269,no,11,p,15.4
OR52H1,olfactory receptor family 52 subfamily H member 1,Approved,11p15.4,ENSG00000181616,no,11,p,15.4
OR52H2P,olfactory receptor family 52 subfamily H member 2 pseudogene,Approved,11p15.4,ENSG00000248553,no,11,p,15.4
OR52I1,olfactory receptor family 52 subfamily I member 1,Approved,11p15.4,ENSG00000232268,no,11,p,15.4
OR52I2,olfactory receptor family 52 subfamily I member 2,Approved,11p15.4,ENSG00000226288,no,11,p,15.4
OR52J1P,olfactory receptor family 52 subfamily J member 1 pseudogene,Approved,11p15.4,ENSG00000203560,no,11,p,15.4
OR52J2P,olfactory receptor family 52 subfamily J member 2 pseudogene,Approved,11p15.4,ENSG00000230261,no,11,p,15.4
OR52J3,olfactory receptor family 52 subfamily J member 3,Approved,11p15.4,ENSG00000205495,no,11,p,15.4
OR52K1,olfactory receptor family 52 subfamily K member 1,Approved,11p15.4,ENSG00000196778,no,11,p,15.4
OR52K2,olfactory receptor family 52 subfamily K member 2,Approved,11p15.4,ENSG00000181963,no,11,p,15.4
OR52K3P,olfactory receptor family 52 subfamily K member 3 pseudogene,Approved,11p15.4,ENSG00000225101,no,11,p,15.4
OR52L1,olfactory receptor family 52 subfamily L member 1,Approved,11p15.4,ENSG00000183313,no,11,p,15.4
OR52L2P,olfactory receptor family 52 subfamily L member 2 pseudogene,Approved,11p15.4,ENSG00000262980,no,11,p,15.4
OR52M1,olfactory receptor family 52 subfamily M member 1,Approved,11p15.4,ENSG00000197790,no,11,p,15.4
OR52M2P,olfactory receptor family 52 subfamily M member 2 pseudogene,Approved,11p15.4,ENSG00000226616,no,11,p,15.4
OR52N1,olfactory receptor family 52 subfamily N member 1,Approved,11p15.4,ENSG00000181001,no,11,p,15.4
OR52N2,olfactory receptor family 52 subfamily N member 2,Approved,11p15.4,ENSG00000180988,no,11,p,15.4
OR52N3P,olfactory receptor family 52 subfamily N member 3 pseudogene,Approved,11p15.4,ENSG00000236965,no,11,p,15.4
OR52N4,olfactory receptor family 52 subfamily N member 4,Approved,11p15.4,ENSG00000181074,no,11,p,15.4
OR52N5,olfactory receptor family 52 subfamily N member 5,Approved,11p15.4,ENSG00000181009,no,11,p,15.4
OR52P1,olfactory receptor family 52 subfamily P member 1 (gene/pseudogene),Approved,11p15.4,ENSG00000181109,no,11,p,15.4
OR52P2P,olfactory receptor family 52 subfamily P member 2 pseudogene,Approved,11p15.4,ENSG00000171999,no,11,p,15.4
OR52Q1P,olfactory receptor family 52 subfamily Q member 1 pseudogene,Approved,11p15.4,ENSG00000277514,no,11,p,15.4
OR52R1,olfactory receptor family 52 subfamily R member 1,Approved,11p15.4,ENSG00000279270,no,11,p,15.4
OR52S1P,olfactory receptor family 52 subfamily S member 1 pseudogene,Approved,11p15.4,ENSG00000237354,no,11,p,15.4
OR52T1P,olfactory receptor family 52 subfamily T member 1 pseudogene,Approved,11p15.4,ENSG00000233646,no,11,p,15.4
OR52U1P,olfactory receptor family 52 subfamily U member 1 pseudogene,Approved,11p15.4,ENSG00000232381,no,11,p,15.4
OR52V1P,olfactory receptor family 52 subfamily V member 1 pseudogene,Approved,11p15.4,ENSG00000249633,no,11,p,15.4
OR52W1,olfactory receptor family 52 subfamily W member 1,Approved,11p15.4,ENSG00000175485,no,11,p,15.4
OR52X1P,olfactory receptor family 52 subfamily X member 1 pseudogene,Approved,11p15.4,ENSG00000234895,no,11,p,15.4
OR52Y1P,olfactory receptor family 52 subfamily Y member 1 pseudogene,Approved,11p15.4,ENSG00000231070,no,11,p,15.4
OR52Z1P,olfactory receptor family 52 subfamily Z member 1 pseudogene,Approved,11p15.4,ENSG00000176748,no,11,p,15.4
OR55B1P,olfactory receptor family 55 subfamily B member 1 pseudogene,Approved,11p15.4,ENSG00000231548,no,11,p,15.4
OR56A1,olfactory receptor family 56 subfamily A member 1,Approved,11p15.4,ENSG00000180934,no,11,p,15.4
OR56A3,olfactory receptor family 56 subfamily A member 3,Approved,11p15.4,ENSG00000184478,no,11,p,15.4
OR56A4,olfactory receptor family 56 subfamily A member 4,Approved,11p15.4,ENSG00000183389,no,11,p,15.4
OR56A5,olfactory receptor family 56 subfamily A member 5,Approved,11p15.4,ENSG00000188691,no,11,p,15.4
OR56A7P,olfactory receptor family 56 subfamily A member 7 pseudogene,Approved,11p15.4,ENSG00000255481,no,11,p,15.4
OR56B1,olfactory receptor family 56 subfamily B member 1,Approved,11p15.4,ENSG00000181023,no,11,p,15.4
OR56B2P,olfactory receptor family 56 subfamily B member 2 pseudogene,Approved,11p15.4,ENSG00000181017,no,11,p,15.4
OR56B3P,olfactory receptor family 56 subfamily B member 3 pseudogene,Approved,11p15.4,ENSG00000180913,no,11,p,15.4
OR56B4,olfactory receptor family 56 subfamily B member 4,Approved,11p15.4,ENSG00000180919,no,11,p,15.4
OSBPL5,oxysterol binding protein like 5,Approved,11p15.4,ENSG00000021762,no,11,p,15.4
OVCH2,ovochymase 2,Approved,11p15.4,ENSG00000183378,no,11,p,15.4
PGAP2,post-GPI attachment to proteins 2,Approved,11p15.4,ENSG00000148985,no,11,p,15.4
PHLDA2,pleckstrin homology like domain family A member 2,Approved,11p15.4,ENSG00000181649,no,11,p,15.4
PPFIBP2,PPFIA binding protein 2,Approved,11p15.4,ENSG00000166387,no,11,p,15.4
PPIAP40,peptidylprolyl isomerase A pseudogene 40,Approved,11p15.4,ENSG00000230593,no,11,p,15.4
